2022-07-23 14:07:111 INFO  ManageDriver :33 - Launching Chrome Browser
2022-07-23 14:07:635 INFO  HomePage1 :33 - Clicking on start accept cookies[[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //button[@id='nhsuk-cookie-banner__link_accept_analytics']]
2022-07-23 14:07:890 INFO  HomePage1 :38 - Clicking on start Button[[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='next-button']]
2022-07-23 14:07:938 INFO  CountryPage2 :29 - Clicking on wales[[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='radio-wales']]
2022-07-23 14:07:194 INFO  CountryPage2 :34 - Clicking on next[[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='next-button']]
2022-07-23 14:07:238 INFO  GpPracticePage3 :25 - Clicking on yes [[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='radio-yes']]
2022-07-23 14:07:497 INFO  GpPracticePage3 :30 - Clicking on next [[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='next-button']]
2022-07-23 14:07:545 INFO  DentalPracticePage4 :26 - Clicking on wales  [[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='radio-wales']]
2022-07-23 14:07:808 INFO  DentalPracticePage4 :31 - Clicking on next [[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='next-button']]
2022-07-23 14:07:814 INFO  DateOfBirthPage5 :31 - Enter date 1 to date field 1
2022-07-23 14:07:888 INFO  DateOfBirthPage5 :36 - Enter month 02 to Month field [[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='dob-month']]
2022-07-23 14:07:946 INFO  DateOfBirthPage5 :41 - Enter Year 2000 to Year  field [[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='dob-year']]
2022-07-23 14:07:242 INFO  DateOfBirthPage5 :47 - Clicking on next [[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='next-button']]
2022-07-23 14:07:290 INFO  PartnerPage6 :27 - Clicking on my yes [[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='radio-yes']]
2022-07-23 14:07:559 INFO  PartnerPage6 :32 - Clicking on next [[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='next-button']]
2022-07-23 14:07:614 INFO  TexCreditPage7 :26 - Clicking on no [[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='radio-no']]
2022-07-23 14:07:889 INFO  TexCreditPage7 :30 - Clicking on next [[ChromeDriver: chrome on WINDOWS (22c03265adc92c40a56a3bec3b8b8da0)] -> xpath: //input[@id='next-button']]
